speech_id,keybert_keywords
CREC-2023-01-25-pt1-PgH299-11,"['faa notam notams', 'notam outages occurring', 'outage faa responding', 'reliable national airspace', 'safety national airspace']"
CREC-2023-01-25-pt1-PgH299-12,"['mr', 'minnesota', 'yield time', 'consume gentleman', 'stauber sponsor']"
CREC-2023-01-25-pt1-PgH299-13,"['legislation failure notam', 'flight unfortunately notams', 'upgrades aviation safety', 'safety information common', 'air missions notams']"
CREC-2023-01-25-pt1-PgH299-14,"['mr', 'yield', 'california', 'minutes', 'desaulnier']"
CREC-2023-01-25-pt1-PgH299-15,"['immediate updates notams', 'outdated notam largest', 'aviation safety technology', 'safe landings act', 'accountable safety passengers']"
CREC-2023-01-25-pt1-PgH299-16,"['close', 'close reserve balance', 'speakers prepared']"
CREC-2023-01-25-pt1-PgH299-17,"['yield', 'new york', 'gentleman new', 'minutes', 'torres']"
CREC-2023-01-25-pt1-PgH299-18,"['force notam improvement', 'breakdown notam alerts', 'cyber vulnerabilities aviation', 'modernizing cybersecurity', 'raises concerns cyber']"
CREC-2023-01-25-pt1-PgH299-19,"['time', 'reserve', 'balance', 'reserve balance', 'balance time']"
CREC-2023-01-25-pt1-PgH299-20,"['346 amended urge', 'safety support', 'remains gold standard', 'house transportation infrastructure', 'aviation']"
CREC-2023-01-25-pt1-PgH299-21,"['america national', 'legislation good urge', 'closing 346', 'operational remain safe', 'airspace going remain']"
CREC-2023-01-25-pt1-PgH299-25,"['demand', 'yeas', 'nays', 'demand yeas', 'yeas nays']"
CREC-2023-01-25-pt1-PgH301-0,"['functions', 'suspend', 'advocacy']"
CREC-2023-01-25-pt1-PgH301-9,"['advocating', 'small', 'bipartisan', 'sba', 'regulations']"
CREC-2023-01-25-pt1-PgH301-10,"['improvements', 'regulations', 'bills', 'entrepreneurship', 'bipartisanship']"
CREC-2023-01-25-pt1-PgH301-11,"['missouri', 'luetkemeyer', 'ranking']"
CREC-2023-01-25-pt1-PgH301-12,"['act', 'small', 'sba', 'bipartisan', 'regulatory']"
CREC-2023-01-25-pt1-PgH301-13,"['global', 'behalf', 'small', 'lobbyists', 'sba']"
CREC-2023-01-25-pt1-PgH301-14,"['act', 'international', 'markets', 'improvements', 'bipartisan']"
CREC-2023-01-25-pt1-PgH301-15,"['time', 'yield', 'general', 'balance', 'leave']"
CREC-2023-01-25-pt1-PgH301-16,"['extraneous', 'days', 'measure', 'consent']"
CREC-2023-01-25-pt1-PgH301-19,"['rates', 'balance', 'allow', 'developed', 'washington']"
CREC-2023-01-25-pt1-PgH301-20,"['initiatives', 'office', 'exporters', 'minority', 'small']"
